Respondent_Serial,brand,OSAT,Food looks appetizing,Has food that tastes good,Has food I crave,Provides the right proportions of ingredients,Has a wide variety of menu options,Offers healthy/better-for-you menu options,Is making changes to improve their food,"Has a unique, distinctive approach that makes food better",Has a wide range of ingredients,Portions are the right size for my appetite,Has good environmental/sustainability practices,Is worth the price,Is something I can afford to eat regularly,Is competitively priced,Is a good value for the money,Has enticing promotional offers,Has a good loyalty program,Employees show care for my food/order,Provides fast service,Ordering is simple and easy,Employees are friendly and engaging,Level of visibility of my food being made,I’m able to make my order exactly how I would like it,Provides a consistent experience,Integrates technology into its ordering process,Food is easy to eat on-the-go,I can easily order for delivery to a location convenient to me,Food prep area is clean and organized,Restaurant is clean,Environment is warm and inviting,Decor is current and modern,Restaurant environment is designed for someone like me,Restaurant has curb appeal,Ingredients are fresh,Ingredients are high quality,Offers good quality meats,Offers good quality veggies and toppings,Uses freshly baked bread,They make me feel valued,Place I am happy to be seen
2,Subway,4,6.0,5.0,3.0,3.0,4.0,6.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,6.0,4.0,2.0,7.0,6.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,1.0,3.0,5.0,5.0,3.0,5.0,6.0,2.0,3.0
2,McDonalds,2,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,5.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,5.0,1.0,4.0,3.0,4.0,4.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0
4,Subway,5,4.0,4.0,4.0,5.0,6.0,6.0,,,6.0,6.0,,5.0,5.0,5.0,5.0,5.0,,4.0,6.0,6.0,4.0,6.0,7.0,6.0,,6.0,,6.0,5.0,3.0,3.0,3.0,3.0,6.0,5.0,5.0,5.0,7.0,4.0,4.0
4,McDonalds,6,3.0,5.0,5.0,4.0,2.0,1.0,,2.0,,6.0,,7.0,7.0,7.0,7.0,2.0,,4.0,7.0,7.0,6.0,1.0,6.0,7.0,7.0,7.0,,,7.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,,4.0,3.0
5,Firehouse Subs,5,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,3.0,6.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0
5,Panera,5,3.0,5.0,5.0,5.0,6.0,7.0,4.0,6.0,5.0,5.0,6.0,5.0,7.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,4.0,5.0,7.0,5.0,5.0,2.0,6.0,6.0,7.0,6.0,6.0,4.0,7.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0
7,Firehouse Subs,5,5.0,5.0,5.0,4.0,6.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0
7,Jimmy Johns,4,5.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0
10,Subway,6,7.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,5.0,6.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,5.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0
10,McDonalds,6,6.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0
15,Chipotle,4,6.0,5.0,4.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,,,3.0,6.0,6.0,4.0,6.0,6.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,4.0,4.0,3.0,6.0,6.0,5.0,5.0,,4.0,5.0
15,Panera,5,5.0,5.0,4.0,4.0,5.0,4.0,,4.0,5.0,6.0,,5.0,5.0,5.0,4.0,3.0,,4.0,4.0,6.0,5.0,4.0,5.0,5.0,5.0,3.0,2.0,5.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0
16,Chipotle,4,4.0,4.0,4.0,6.0,4.0,6.0,4.0,6.0,7.0,4.0,6.0,6.0,1.0,6.0,7.0,4.0,,4.0,5.0,6.0,4.0,7.0,4.0,7.0,6.0,2.0,,5.0,6.0,5.0,5.0,5.0,4.0,5.0,7.0,5.0,5.0,4.0,5.0,3.0
16,Firehouse Subs,7,7.0,7.0,7.0,5.0,4.0,5.0,,6.0,4.0,7.0,5.0,7.0,4.0,4.0,7.0,4.0,,6.0,7.0,7.0,5.0,6.0,7.0,7.0,4.0,7.0,4.0,7.0,6.0,5.0,4.0,5.0,5.0,6.0,7.0,7.0,5.0,7.0,4.0,7.0
17,McDonalds,6,7.0,6.0,7.0,7.0,6.0,7.0,6.0,5.0,7.0,5.0,5.0,7.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0
19,Firehouse Subs,2,5.0,4.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,1.0,5.0,5.0,6.0,2.0,4.0,5.0,4.0
19,Jersey Mikes,4,4.0,6.0,5.0,6.0,5.0,4.0,5.0,5.0,6.0,6.0,6.0,3.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,6.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0
20,Chipotle,1,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,,,,,,1.0,,,,,1.0,1.0,
20,Jersey Mikes,4,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0
21,Subway,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
21,McDonalds,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,Subway,5,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,3.0,5.0,7.0,6.0,5.0,7.0,7.0,6.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,7.0,3.0,5.0
22,McDonalds,5,5.0,6.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,6.0,3.0,3.0,7.0,4.0,6.0,5.0,3.0,6.0,6.0,5.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0
26,Firehouse Subs,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
26,Jersey Mikes,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
27,Chipotle,7,5.0,7.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,5.0,6.0,7.0,6.0,5.0,6.0
27,Panera,6,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0
29,Chipotle,1,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,Firehouse Subs,7,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0,7.0,,6.0,6.0,6.0,6.0,6.0,6.0,7.0,,7.0,7.0,6.0,6.0,6.0,6.0,6.0,,7.0,6.0,6.0,6.0,6.0,6.0,6.0
30,Jimmy Johns,5,6.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,7.0,5.0,6.0,5.0,5.0,5.0,6.0
30,Panera,5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0
31,Subway,5,5.0,7.0,4.0,4.0,5.0,6.0,4.0,5.0,6.0,6.0,5.0,4.0,4.0,3.0,6.0,4.0,1.0,5.0,4.0,7.0,4.0,6.0,6.0,3.0,5.0,7.0,5.0,5.0,6.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,7.0,7.0,3.0,3.0
31,Panera,6,3.0,6.0,2.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,5.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0
32,Subway,6,7.0,7.0,7.0,6.0,7.0,7.0,7.0,5.0,7.0,6.0,5.0,5.0,7.0,5.0,7.0,5.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,5.0,7.0,6.0,7.0,4.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0
32,McDonalds,6,5.0,6.0,6.0,7.0,6.0,4.0,6.0,5.0,5.0,7.0,4.0,6.0,4.0,5.0,5.0,7.0,6.0,7.0,6.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,4.0,5.0,5.0,5.0
33,Subway,4,4.0,5.0,6.0,6.0,4.0,6.0,5.0,5.0,6.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,5.0,7.0,5.0,5.0,5.0,5.0
33,Jersey Mikes,3,6.0,4.0,6.0,3.0,4.0,5.0,4.0,5.0,4.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,4.0,6.0,5.0,6.0,6.0,5.0,7.0,6.0,6.0,4.0
34,Chipotle,1,,1.0,,5.0,5.0,,,,4.0,4.0,4.0,,,,,,,5.0,4.0,4.0,4.0,5.0,,5.0,1.0,1.0,,,2.0,,,1.0,,2.0,,1.0,,,1.0,
34,Jimmy Johns,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,1.0,1.0
44,Chipotle,6,7.0,6.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,4.0,5.0,6.0,7.0,6.0,7.0,7.0,6.0,4.0,5.0,7.0,6.0,7.0,5.0,6.0,4.0,3.0,6.0,6.0,6.0,6.0,3.0,4.0,5.0
44,Panera,6,7.0,6.0,4.0,7.0,6.0,4.0,4.0,5.0,4.0,6.0,4.0,6.0,6.0,5.0,6.0,4.0,4.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,6.0,6.0,5.0,6.0,6.0,6.0,3.0,4.0,6.0,5.0,4.0,5.0,6.0,6.0,6.0
45,Subway,5,5.0,4.0,4.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,4.0
45,McDonalds,6,5.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,6.0,6.0,6.0,,3.0,5.0,5.0,6.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
47,Jersey Mikes,4,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,,4.0,,4.0,,4.0,5.0,4.0,,5.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,
47,Panera,6,5.0,5.0,4.0,5.0,4.0,4.0,,,4.0,5.0,,5.0,3.0,4.0,4.0,4.0,4.0,,4.0,5.0,3.0,,5.0,4.0,,4.0,,,5.0,,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,
48,Jersey Mikes,7,5.0,7.0,5.0,5.0,5.0,5.0,7.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,7.0,5.0,7.0,5.0,5.0,7.0,6.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0,5.0,5.0,7.0
48,McDonalds,4,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
52,Firehouse Subs,5,6.0,6.0,7.0,6.0,7.0,5.0,7.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,5.0,7.0
52,Jersey Mikes,6,6.0,5.0,7.0,6.0,6.0,6.0,7.0,5.0,5.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,6.0,6.0,7.0,6.0,5.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0
54,Jimmy Johns,4,4.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,2.0,3.0,5.0,3.0,3.0,3.0,4.0,1.0,4.0,4.0,5.0,4.0,3.0,1.0,3.0,1.0,2.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0
54,Panera,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Chipotle,3,6.0,6.0,2.0,4.0,1.0,3.0,3.0,3.0,2.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,7.0,1.0,3.0,3.0,1.0,,2.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,6.0,5.0,,1.0,3.0
56,Panera,5,7.0,7.0,6.0,6.0,5.0,5.0,6.0,4.0,6.0,4.0,5.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,6.0,3.0,4.0,6.0,6.0,5.0,4.0,,7.0,7.0,4.0,4.0,,,7.0,7.0,6.0,5.0,7.0,2.0,5.0
57,Firehouse Subs,7,7.0,5.0,6.0,7.0,5.0,5.0,6.0,6.0,5.0,4.0,7.0,5.0,6.0,6.0,7.0,5.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,5.0,4.0,7.0,4.0,5.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0
57,Jimmy Johns,7,5.0,5.0,7.0,6.0,6.0,7.0,6.0,5.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,4.0,7.0,6.0,6.0,7.0
60,Firehouse Subs,6,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0
60,Jersey Mikes,6,5.0,6.0,6.0,5.0,6.0,4.0,6.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,7.0,7.0,5.0,5.0,6.0,5.0,6.0,7.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,7.0,5.0,5.0,6.0,6.0,4.0,5.0
62,Jimmy Johns,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0
62,McDonalds,7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0
64,Jersey Mikes,3,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
64,Jimmy Johns,4,4.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,6.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0
65,Chipotle,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
65,Jimmy Johns,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
74,Firehouse Subs,7,6.0,6.0,4.0,6.0,6.0,5.0,5.0,,6.0,6.0,5.0,5.0,5.0,5.0,5.0,1.0,,,6.0,6.0,,5.0,6.0,6.0,,6.0,,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0,5.0,,
74,Jersey Mikes,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
76,Chipotle,7,5.0,7.0,2.0,7.0,7.0,7.0,7.0,,7.0,5.0,4.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,,7.0,7.0,7.0,7.0,4.0,4.0,,6.0,4.0,5.0,5.0,4.0,6.0,7.0,4.0,,4.0,7.0
76,Jimmy Johns,6,7.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,7.0,1.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
79,Subway,6,6.0,6.0,6.0,6.0,5.0,4.0,4.0,6.0,4.0,6.0,6.0,6.0,7.0,5.0,7.0,7.0,4.0,4.0,6.0,5.0,4.0,4.0,6.0,7.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,7.0,7.0,5.0
79,Panera,6,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,6.0,3.0,7.0,4.0,5.0,6.0,5.0,5.0,6.0,6.0,7.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,6.0,4.0,4.0,6.0,5.0,5.0,7.0,6.0,7.0
80,Jersey Mikes,6,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0
80,Panera,6,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
82,Chipotle,2,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
